id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
706817960511658208,Home in Oakland · ★4.63 · 2 bedrooms · 2 beds · 1 bath,10460463,Jonathan,,San Pablo Gateway,37.80894,-122.27668,Entire home/apt,129,3,8,2023-05-29,0.88,2,65,8,
707280821284347596,Rental unit in Oakland · 2 bedrooms · 1 bed · 1 shared bath,4335997,Shira,,East Peralta,37.79453,-122.25744,Private room,55,3,2,2022-12-07,0.28,2,143,2,
707435276411402803,Serviced apartment in Oakland · 1 bedroom · 1 bed · 1 bath,263143710,Rishi,,Clawson,37.82339,-122.28667,Entire home/apt,110,30,1,2023-05-01,0.55,28,316,1,
707488000022046800,Home in Oakland · 1 bedroom · 1 bed · 1 shared bath,420487573,Nore,,Brookfield Village,37.73578,-122.19326,Private room,95,2,0,,,3,365,0,
707770418408202105,Camper/RV in Oakland · ★4.90 · 1 bedroom · 2 beds · 1 bath,21365422,Ernest,,Longfellow,37.82756,-122.27111,Entire home/apt,67,1,48,2023-06-19,5.12,3,172,48,
708309678445468126,Home in Oakland · 1 bedroom · 2 beds · 1 shared bath,420487573,Nore,,Columbia Gardens,37.73418,-122.19326,Shared room,114,2,0,,,3,365,0,
708569797749685220,Townhouse in Oakland · 2 bedrooms · 2 beds · 2 baths,422750009,Kai,,San Pablo Gateway,37.8082,-122.27243,Private room,400,1,0,,,1,365,0,
709055289843015015,Rental unit in Oakland · ★4.78 · 1 bedroom · 2 beds · 1 shared bath,465986586,Charles,,Frick,37.77014,-122.1744,Private room,35,4,9,2023-05-14,0.97,8,43,9,
709125635817884608,Rental unit in Oakland · Studio · 1 bed · 1 bath,107434423,Blueground,,Lakewide,37.8062574,-122.2660091,Entire home/apt,174,31,0,,,32,349,0,
709379941601756104,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,133001506,Max,,Forestland,37.8402328,-122.1945814,Private room,54,3,7,2023-06-15,0.75,4,63,7,
710421847092230722,Home in Oakland · 1 bedroom · 2 beds · 1 bath,457763098,Advantage,,Millsmont,37.7764,-122.17003,Entire home/apt,131,3,0,,,1,365,0,
710992281658899569,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,427869265,Benjamin,,Piedmont Pines,37.82762,-122.19125,Private room,95,2,4,2023-04-09,0.51,1,59,4,
711004036973335782,Rental unit in Oakland · ★4.92 · 3 bedrooms · 3 beds · 2 baths,156365053,Sierra,,Longfellow,37.83655,-122.2686,Entire home/apt,150,25,13,2023-05-29,1.41,3,133,13,
711092807651612224,Rental unit in Oakland · ★4.64 · 2 bedrooms · 6 beds · 1 bath,465986586,Charles,,Frick,37.77094,-122.17643,Entire home/apt,72,7,11,2023-05-28,1.34,8,43,11,
711143526556739935,Condo in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,227647659,Seb,,Lakewide,37.80689,-122.26644,Entire home/apt,155,2,3,2023-04-17,0.40,1,2,3,
711186217975214144,Condo in Oakland · ★4.94 · 2 bedrooms · 2 beds · 2 baths,458453499,Bougie Mob Enterprise,,Downtown,37.80431,-122.26989,Entire home/apt,800,1,31,2023-03-05,3.29,1,0,31,
711518834622548061,Home in Oakland · 1 bedroom · 1 bed · 1 private bath,60446635,Ahmad,,Prescott,37.80864,-122.29995,Private room,79,31,1,2022-12-01,0.15,4,87,1,
711546484560771829,Place to stay in Oakland · 1 bedroom · 1 bed · 1 shared bath,22571290,Greg,,Upper Rockridge,37.84364039607091,-122.23318182096848,Private room,150,1,1,2022-09-16,0.11,1,365,1,
711749655494165266,Rental unit in Oakland · 2 bedrooms · 2 beds · 1 bath,478745120,Ruby,,Lynn-Highland Park,37.80259540826751,-122.23560533168082,Entire home/apt,110,28,0,,,1,89,0,
712233807256648856,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,332219736,Marlene,,Mosswood,37.82574,-122.26231,Entire home/apt,90,30,3,2023-06-08,3,6,298,3,
713109429252385558,Home in Oakland · 2 bedrooms · 2 beds · 1 bath,478974957,Deanna,,Glen Highlands,37.84067,-122.22271,Entire home/apt,279,5,0,,,1,0,0,
713726569518548172,Home in Oakland · 1 bedroom · 1 bed · 1 bath,463776936,Anna,,Prescott,37.81042,-122.30163,Entire home/apt,84,1,0,,,1,359,0,
714422883646726427,Home in Oakland · ★4.80 · 1 bedroom · 3 beds · 1 private bath,394109533,Alex,,Fremont,37.77136,-122.20811,Private room,70,3,5,2023-02-12,0.55,1,365,5,
